timestamp,speed_input,speed_output,filesize_input,filesize_output
352,274.2 rd,270.4 wr,"in(64.8, 191.8)",out(253.0)
354,300.5 rd,297.5 wr,"in(64.7, 193.0)",out(255.1)
356,275.4 rd,272.4 wr,"in(64.7, 194.3)",out(256.2)
357,286.2 rd,284.5 wr,"in(64.8, 241.1)",out(304.0)
359,278.3 rd,274.9 wr,"in(64.7, 253.0)",out(313.9)
361,93.9 rd,91.7 wr,"in(64.8, 64.8)",out(126.5)
364,93.9 rd,92.1 wr,"in(64.7, 64.8)",out(127.1)
365,93.9 rd,90.9 wr,"in(64.8, 64.8)",out(125.4)
366,93.9 rd,91.9 wr,"in(64.8, 64.8)",out(126.8)
367,93.9 rd,91.7 wr,"in(64.8, 64.8)",out(126.4)
368,200.0 rd,198.6 wr,"in(322.8, 379.6)",out(697.6)
370,303.2 rd,299.1 wr,"in(50.7, 129.6)",out(177.9)
372,300.2 rd,295.3 wr,"in(64.8, 187.2)",out(247.9)
374,276.9 rd,274.5 wr,"in(64.8, 239.3)",out(301.5)
375,285.5 rd,282.4 wr,"in(64.7, 247.4)",out(308.7)
377,290.9 rd,287.4 wr,"in(64.7, 248.5)",out(309.5)
379,131.6 rd,127.5 wr,"in(64.8, 64.8)",out(125.5)
381,131.5 rd,129.3 wr,"in(64.7, 64.8)",out(127.3)
382,143.9 rd,140.5 wr,"in(129.5, 64.8)",out(189.7)
383,225.1 rd,223.4 wr,"in(376.7, 387.8)",out(758.5)
386,267.1 rd,263.9 wr,"in(64.8, 119.6)",out(182.1)
388,287.3 rd,285.1 wr,"in(64.8, 129.5)",out(192.8)
390,273.8 rd,271.8 wr,"in(64.8, 194.3)",out(257.2)
391,302.1 rd,297.8 wr,"in(64.8, 248.0)",out(308.2)
393,304.1 rd,300.8 wr,"in(64.8, 255.1)",out(316.4)
395,95.1 rd,92.3 wr,"in(64.8, 64.8)",out(125.8)
397,95.1 rd,94.2 wr,"in(64.8, 64.8)",out(128.4)
398,95.1 rd,93.3 wr,"in(64.8, 64.8)",out(127.1)
399,95.1 rd,94.1 wr,"in(64.8, 64.8)",out(128.2)
400,95.1 rd,92.3 wr,"in(64.8, 64.8)",out(125.8)
401,215.3 rd,213.6 wr,"in(376.7, 434.6)",out(804.8)
404,284.2 rd,281.2 wr,"in(64.7, 191.5)",out(253.5)
406,279.5 rd,275.2 wr,"in(64.8, 188.8)",out(249.7)
408,294.7 rd,292.2 wr,"in(64.8, 192.8)",out(255.4)
