microseconds_start,duration,job_id,RdMBPS,WtMBPS,Input File Size (Input Level),Input File Size (Output Level),Output File Size (MB),output_level
262568943,1361552,512,101.6,100.4,64.7,303.8,364.2,3
262561101,1361298,513,103.4,102.5,54.0,333.2,383.7,3
262568983,1361298,514,122.0,120.9,64.8,445.1,505.3,3
266571392,2998182,517,282.0,280.1,588.7,217.6,800.8,1
267609883,968489,520,273.7,269.5,58.5,194.3,248.9,2
268822506,1179816,522,271.9,267.5,64.7,241.2,301.0,2
270049114,1191884,524,281.5,278.3,64.8,255.1,316.3,2
271308280,1221617,526,277.9,274.2,64.7,259.0,319.4,2
272750285,1404255,528,272.9,269.5,64.8,300.7,360.9,2
276674351,3883172,530,77.4,74.7,64.8,64.8,125.0,2
275983486,2849242,532,158.4,157.2,0.0,430.5,427.3,0
277774206,4640812,533,68.0,65.4,64.8,120.6,178.2,2
277774297,4640489,534,66.9,65.1,64.8,117.5,177.4,2
275975703,1755650,535,97.4,95.8,64.7,296.1,354.6,3
275990925,2857370,536,96.9,95.8,64.8,364.2,423.9,3
275990790,2857422,537,100.2,99.0,64.8,378.6,438.3,3
278203668,5083365,538,120.2,119.2,64.8,518.2,578.0,2
281670157,3258138,542,261.6,259.8,588.7,224.2,807.3,1
282725804,970917,546,272.9,269.5,63.3,189.4,249.5,2
283687284,926133,548,293.4,290.3,64.8,194.3,256.4,2
284816545,1111212,550,279.4,275.7,64.8,231.3,292.1,2
285594921,741746,551,289.9,285.5,44.8,160.3,202.0,2
286843119,1218540,553,278.7,274.1,64.8,259.1,318.5,2
291054230,3907489,555,119.8,114.8,64.8,64.8,124.2,2
290461069,2765183,557,49.3,47.7,64.8,64.8,125.5,0
292351061,4663381,558,49.1,47.0,64.8,64.8,123.8,2
290453151,2757209,559,49.1,47.0,64.8,64.8,123.8,3
292658729,4975564,560,163.2,162.0,0.0,430.5,427.3,2
288817434,1134035,561,98.2,97.0,64.8,301.0,361.3,3
290461096,2764816,562,58.4,56.4,64.7,122.6,180.8,3
290461042,2764269,563,86.4,85.3,64.8,319.4,379.3,3
291062153,3362775,564,95.5,94.5,64.8,388.5,448.5,3
293392837,5702973,565,117.7,116.7,64.8,575.4,634.5,2
297149055,3512724,570,265.1,263.0,642.5,245.7,881.1,1
297697560,473854,574,286.6,283.4,64.8,64.7,128.1,2
298813856,1091426,575,278.2,273.6,64.8,224.8,284.8,2
300100975,1251100,577,271.5,267.7,64.8,259.1,319.4,2
301418707,1278139,579,280.7,276.4,64.8,277.4,337.0,2
302860136,1401584,581,278.5,274.8,64.8,307.4,367.4,2
308078108,4818469,583,220.2,218.6,0.0,430.4,427.3,2
305553446,2049313,585,66.3,63.4,64.8,64.8,124.0,0
308786858,5309454,586,41.5,40.0,64.8,64.8,125.0,2
307768548,4243083,587,41.5,40.2,64.8,64.8,125.7,2
308086059,4307234,588,41.5,39.4,64.8,64.8,122.9,2
309301223,5804900,589,53.7,51.9,64.8,112.7,171.6,2
306773209,3274152,590,53.4,52.9,31.5,184.8,214.0,3
305553501,2049601,591,77.7,76.5,64.8,292.4,351.6,3
308559040,5081725,592,53.6,52.9,30.3,189.8,217.4,2
306765418,3273979,593,68.9,68.1,42.0,292.1,330.0,3
306773275,3273877,594,86.9,85.6,64.8,375.4,433.6,3
307580250,3463487,595,92.6,91.6,64.8,448.0,507.3,3
314471516,4922779,600,192.0,190.5,642.5,259.0,894.3,1
315654948,2787951,604,48.7,46.0,64.8,64.8,122.4,3
315647388,2787852,605,48.0,45.9,64.8,62.7,121.9,3
315655101,2787894,606,48.7,46.0,64.8,64.8,122.4,3
315655025,2787561,607,48.7,46.4,64.8,64.8,123.3,3
315655071,2787700,608,48.7,46.2,64.8,64.8,122.9,3
316206153,2894458,609,57.7,56.0,64.8,94.6,154.5,3
316239707,3369300,610,53.4,51.8,64.8,106.8,166.3,3
316247427,3369198,611,59.1,57.4,64.8,125.0,184.6,3
316247612,3375891,612,59.1,56.4,64.8,125.0,181.3,3
316247535,3368989,613,58.3,57.0,64.8,122.9,183.6,3
