,workload,iodepth,numjobs,ioengine,bs,media,MBPS,diskutil
194,write,1,16,libaio,64,nvme,5013.0,22.4
195,randwrite,1,1,libaio,64,ssd,139.0,51.32
196,write,16,4,psync,16,nvme,4196.0,54.69
197,randwrite,32,16,psync,4,ssd,208.0,82.13
198,randwrite,64,1,psync,64,hdd,96.7,49.32
199,write,1,1,psync,4,nvme,1928.0,71.02
200,write,1,4,libaio,64,hdd,1063.0,69.21
201,write,256,4,libaio,4,hdd,1057.0,69.22
202,write,256,16,psync,64,hdd,3764.0,59.38
203,randwrite,32,1,libaio,64,nvme,1830.0,74.35
204,write,16,16,libaio,64,nvme,4377.0,18.05
205,randwrite,32,16,psync,16,ssd,205.0,79.43
206,write,1,1,psync,4,ssd,110.0,17.34
207,write,1,4,libaio,16,hdd,1064.0,69.34
208,write,32,4,libaio,64,nvme,3948.0,51.52
209,randwrite,64,4,libaio,4,nvme,1763.0,89.38
210,randwrite,1,1,libaio,4,ssd,128.0,70.78
211,randwrite,16,1,libaio,4,nvme,1309.0,67.56
212,randwrite,64,16,psync,64,hdd,109.0,61.03
213,randwrite,64,1,libaio,4,ssd,125.0,66.04
214,randwrite,64,4,psync,16,nvme,1789.0,89.93
215,randwrite,256,16,psync,4,hdd,106.0,76.32
216,write,1,4,libaio,16,nvme,4470.0,57.08
217,randwrite,256,4,libaio,16,hdd,88.2,56.38
218,write,1,16,psync,64,nvme,4980.0,22.36
219,randwrite,64,16,libaio,64,hdd,94.7,58.43
220,randwrite,32,16,psync,64,ssd,208.0,71.88
221,randwrite,32,4,libaio,64,hdd,110.0,58.23
222,randwrite,32,4,libaio,4,hdd,81.5,52.86
223,write,1,4,psync,4,ssd,1045.0,73.15
224,randwrite,32,16,libaio,64,hdd,103.0,57.27
225,randwrite,256,4,psync,16,nvme,1789.0,89.94
226,randwrite,64,1,libaio,64,ssd,117.0,41.45
227,write,256,16,psync,16,hdd,3752.0,58.05
228,write,1,1,libaio,64,nvme,1892.0,75.6
229,write,1,16,psync,16,hdd,3729.0,57.72
230,write,1,16,psync,16,nvme,4714.0,20.23
231,randwrite,1,4,libaio,64,nvme,1724.0,90.17
232,randwrite,64,4,libaio,16,nvme,1785.0,89.64
233,write,32,16,psync,16,hdd,3808.0,57.96
234,write,32,4,libaio,16,hdd,1062.0,70.67
235,randwrite,1,16,libaio,64,hdd,73.6,45.77
236,randwrite,256,1,psync,64,nvme,1820.0,75.57
237,randwrite,1,1,libaio,64,nvme,1855.0,74.75
238,write,64,1,psync,4,ssd,123.0,22.53
239,write,16,1,psync,16,nvme,1898.0,74.63
240,write,256,1,psync,16,hdd,285.0,64.88
241,randwrite,64,1,libaio,16,nvme,1738.0,71.59
242,write,32,16,libaio,4,hdd,3429.0,55.88
243,write,256,1,psync,4,hdd,287.0,65.33
244,randwrite,1,4,psync,4,nvme,1744.0,88.84
245,write,1,4,psync,4,nvme,3870.0,53.55
246,randwrite,16,16,libaio,4,ssd,180.0,77.48
247,write,256,4,psync,64,nvme,4528.0,58.18
248,write,256,1,psync,16,nvme,1886.0,75.39
249,randwrite,64,4,libaio,64,nvme,1763.0,89.92
250,randwrite,64,1,psync,64,nvme,1825.0,75.31
251,write,1,4,psync,16,ssd,722.0,47.35
252,write,256,16,libaio,4,hdd,3117.0,55.95
253,randwrite,32,1,psync,16,hdd,73.0,45.83
254,randwrite,16,16,psync,4,ssd,181.0,79.67
255,randwrite,32,16,psync,64,hdd,73.6,50.89
256,write,1,4,psync,16,nvme,4388.0,56.23
257,write,32,16,psync,64,nvme,5066.0,20.76
258,randwrite,64,4,psync,4,nvme,1776.0,88.99
259,randwrite,16,1,libaio,4,ssd,116.0,57.0
260,randwrite,32,1,psync,16,ssd,122.0,66.18
